,title,imdb_link,imdb_id
0,Toy Story (1995),https://www.imdb.com/title/tt0114709,tt0114709
1,Jumanji (1995),https://www.imdb.com/title/tt0113497,tt0113497
2,Grumpier Old Men (1995),https://www.imdb.com/title/tt0113228,tt0113228
3,Waiting to Exhale (1995),https://www.imdb.com/title/tt0114885,tt0114885
4,Father of the Bride Part II (1995),https://www.imdb.com/title/tt0113041,tt0113041
5,Heat (1995),https://www.imdb.com/title/tt0113277,tt0113277
6,Sabrina (1995),https://www.imdb.com/title/tt0114319,tt0114319
7,Tom and Huck (1995),https://www.imdb.com/title/tt0112302,tt0112302
8,Sudden Death (1995),https://www.imdb.com/title/tt0114576,tt0114576
9,GoldenEye (1995),https://www.imdb.com/title/tt0113189,tt0113189
10,The American President (1995),https://www.imdb.com/title/tt0112346,tt0112346
11,Dracula: Dead and Loving It (1995),https://www.imdb.com/title/tt0112896,tt0112896
12,Balto (1995),https://www.imdb.com/title/tt0112453,tt0112453
13,Nixon (1995),https://www.imdb.com/title/tt0113987,tt0113987
14,Cutthroat Island (1995),https://www.imdb.com/title/tt0112760,tt0112760
15,Casino (1995),https://www.imdb.com/title/tt0112641,tt0112641
16,Sense and Sensibility (1995),https://www.imdb.com/title/tt0114388,tt0114388
17,Four Rooms (1995),https://www.imdb.com/title/tt0113101,tt0113101
18,Ace Ventura: When Nature Calls (1995),https://www.imdb.com/title/tt0112281,tt0112281
19,Money Train (1995),https://www.imdb.com/title/tt0113845,tt0113845
20,Get Shorty (1995),https://www.imdb.com/title/tt0113161,tt0113161
21,Copycat (1995),https://www.imdb.com/title/tt0112722,tt0112722
22,Assassins (1995),https://www.imdb.com/title/tt0112401,tt0112401
23,Powder (1995),https://www.imdb.com/title/tt0114168,tt0114168
24,Leaving Las Vegas (1995),https://www.imdb.com/title/tt0113627,tt0113627
25,Othello (1995),https://www.imdb.com/title/tt0114057,tt0114057
26,Now and Then (1995),https://www.imdb.com/title/tt0114011,tt0114011
27,Persuasion (1995),https://www.imdb.com/title/tt0114117,tt0114117
28,The City of Lost Children (1995),https://www.imdb.com/title/tt0112682,tt0112682
29,Shanghai Triad (1995),https://www.imdb.com/title/tt0115012,tt0115012
30,Dangerous Minds (1995),https://www.imdb.com/title/tt0112792,tt0112792
31,Twelve Monkeys (1995),https://www.imdb.com/title/tt0114746,tt0114746
32,Babe (1995),https://www.imdb.com/title/tt0112431,tt0112431
33,Carrington (1995),https://www.imdb.com/title/tt0112637,tt0112637
34,Dead Man Walking (1995),https://www.imdb.com/title/tt0112818,tt0112818
35,Across the Sea of Time (1995),https://www.imdb.com/title/tt0112286,tt0112286
36,It Takes Two (1995),https://www.imdb.com/title/tt0113442,tt0113442
37,Clueless (1995),https://www.imdb.com/title/tt0112697,tt0112697
38,"Cry, the Beloved Country (1995)",https://www.imdb.com/title/tt0112749,tt0112749
39,Richard III (1995),https://www.imdb.com/title/tt0114279,tt0114279
40,Dead Presidents (1995),https://www.imdb.com/title/tt0112819,tt0112819
41,Restoration (1995),https://www.imdb.com/title/tt0114272,tt0114272
42,Mortal Kombat (1995),https://www.imdb.com/title/tt0113855,tt0113855
43,To Die For (1995),https://www.imdb.com/title/tt0114681,tt0114681
44,How To Make An American Quilt (1995),https://www.imdb.com/title/tt0113347,tt0113347
45,Se7en (1995),https://www.imdb.com/title/tt0114369,tt0114369
46,Pocahontas (1995),https://www.imdb.com/title/tt0114148,tt0114148
47,When Night Is Falling (1995),https://www.imdb.com/title/tt0114916,tt0114916
48,The Usual Suspects (1995),https://www.imdb.com/title/tt0114814,tt0114814
49,Guardian Angel (1994),https://www.imdb.com/title/tt0109950,tt0109950
50,Mighty Aphrodite (1995),https://www.imdb.com/title/tt0113819,tt0113819
51,Lamerica (1994),https://www.imdb.com/title/tt0110299,tt0110299
52,The Big Green (1995),https://www.imdb.com/title/tt0112499,tt0112499
53,Georgia (1995),https://www.imdb.com/title/tt0113158,tt0113158
54,Kids of the Round Table (1997),https://www.imdb.com/title/tt0113541,tt0113541
55,Home for the Holidays (1995),https://www.imdb.com/title/tt0113321,tt0113321
56,The Postman (1994),https://www.imdb.com/title/tt0110877,tt0110877
57,The Confessional (1995),https://www.imdb.com/title/tt0112714,tt0112714
58,The Indian in the Cupboard (1995),https://www.imdb.com/title/tt0113419,tt0113419
59,Eye for an Eye (1996),https://www.imdb.com/title/tt0116260,tt0116260
60,Mr. Holland's Opus (1995),https://www.imdb.com/title/tt0113862,tt0113862
61,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),https://www.imdb.com/title/tt0116126,tt0116126
62,Two If by Sea (1996),https://www.imdb.com/title/tt0118002,tt0118002
63,Bio-Dome (1996),https://www.imdb.com/title/tt0115683,tt0115683
64,Lawnmower Man 2: Beyond Cyberspace (1996),https://www.imdb.com/title/tt0116839,tt0116839
65,Two Bits (1995),https://www.imdb.com/title/tt0114753,tt0114753
66,French Twist (1995),https://www.imdb.com/title/tt0113149,tt0113149
67,Friday (1995),https://www.imdb.com/title/tt0113118,tt0113118
68,From Dusk Till Dawn (1996),https://www.imdb.com/title/tt0116367,tt0116367
69,Fair Game (1995),https://www.imdb.com/title/tt0113010,tt0113010
70,Kicking and Screaming (1995),https://www.imdb.com/title/tt0113537,tt0113537
71,Les Miserables (1995),https://www.imdb.com/title/tt0113828,tt0113828
72,Bed of Roses (1996),https://www.imdb.com/title/tt0115644,tt0115644
73,Big Bully (1996),https://www.imdb.com/title/tt0115676,tt0115676
74,Screamers (1995),https://www.imdb.com/title/tt0114367,tt0114367
75,Nico Icon (1995),https://www.imdb.com/title/tt0113973,tt0113973
76,The Crossing Guard (1995),https://www.imdb.com/title/tt0112744,tt0112744
77,The Juror (1996),https://www.imdb.com/title/tt0116731,tt0116731
78,The White Balloon (1995),https://www.imdb.com/title/tt0112445,tt0112445
79,Things to Do in Denver When You're Dead (1995),https://www.imdb.com/title/tt0114660,tt0114660
80,Antonia's Line (1995),https://www.imdb.com/title/tt0112379,tt0112379
81,Once Upon a Time... When We Were Colored (1996),https://www.imdb.com/title/tt0114039,tt0114039
82,Last Summer in the Hamptons (1995),https://www.imdb.com/title/tt0113612,tt0113612
83,Angels and Insects (1995),https://www.imdb.com/title/tt0112365,tt0112365
84,White Squall (1996),https://www.imdb.com/title/tt0118158,tt0118158
85,Dunston Checks In (1996),https://www.imdb.com/title/tt0116151,tt0116151
86,Black Sheep (1996),https://www.imdb.com/title/tt0115697,tt0115697
87,Nick of Time (1995),https://www.imdb.com/title/tt0113972,tt0113972
88,The Journey of August King (1995),https://www.imdb.com/title/tt0113490,tt0113490
89,Mary Reilly (1996),https://www.imdb.com/title/tt0117002,tt0117002
90,Vampire in Brooklyn (1995),https://www.imdb.com/title/tt0114825,tt0114825
91,Beautiful Girls (1996),https://www.imdb.com/title/tt0115639,tt0115639
92,Broken Arrow (1996),https://www.imdb.com/title/tt0115759,tt0115759
93,A Midwinter's Tale (1995),https://www.imdb.com/title/tt0113403,tt0113403
94,La Haine (1995),https://www.imdb.com/title/tt0113247,tt0113247
